Geo_Point,PTCAR_ID,TAF_TAP_code,Symbolic_name,Abbreviation_BTS_French_short,Abbreviation_BTS_Dutch_short,Abbreviation_BTS_French_complete,Abbreviation_BTS_Dutch_complete,Short_name_in_French,Short_name_in_Dutch,Middle_name_in_French,Middle_name_in_Dutch,Complete_name_in_French,Complete_name_in_Dutch,Classification_NL,Classification_EN,Classification_FR
"51.29196400015459, 4.3838389955107",244,BE00244,FNDW,ANTW-ND-TW,ANTW-ND-TW,ANTWERPEN-NOORD-T.W.,ANTWERPEN-NOORD-T.W.,Antw-Nd-TW,Antw-Nd-TW,Antw-Nd-T.W.,Antw-Nd-T.W.,Antwerpen-Noord-T.W.,Antwerpen-Noord-T.W.,Dienstinstallatie,Service installation,Installation de service
"50.440650000446034, 4.393387995425194",1812,BE01812,LNC16,MONCEAU-BL16,MONCEAU-BL16,MONCEAU-BLOCK 16,MONCEAU-BLOCK 16,Monceau-Bl16,Monceau-Bl16,Monceau-Block 16,Monceau-Block 16,Monceau-Block 16,Monceau-Block 16,Rooster,Grid,Gril
"50.46606900038497, 3.948305995581014",1387,BE01387,FMSA,MONS-AVIAT,MONS-AVIAT,MONS-AVIATION,MONS-AVIATION,Mons-Aviat,Mons-Aviat,Mons-Aviation,Mons-Aviation,Mons-Aviation,Mons-Aviation,Station,Station,Gare
"51.29053552667823, 4.391907370998806",1501,BE01501,RNITW,ANTW-N-INTW,ANTW-N-INTW,ANTWERPEN-NOORD-INRIT T.W.,ANTWERPEN-NOORD-INRIT T.W.,Antw-N-InTW,Antw-N-InTW,Antw-Nd-Inrit T.W.,Antw-Nd-Inrit T.W.,Antwerpen-Noord-Inrit T.W.,Antwerpen-Noord-Inrit T.W.,Rooster,Grid,Gril
"51.29066242318363, 4.385138314449759",1505,BE01505,FNDBV,ANTW-ND-BVRD,ANTW-ND-BVRD,ANTWERPEN-NOORD-BUNDEL BVRD,ANTWERPEN-NOORD-BUNDEL BVRD,Antw-Nd-Bvrd,Antw-Nd-Bvrd,Antw-Nd-Bundel Bvrd,Antw-Nd-Bundel Bvrd,Antwerpen-Noord-Bundel Bvrd,Antwerpen-Noord-Bundel Bvrd,Station,Station,Gare
"50.421239788520715, 4.537954220934624",300,BE00300,FCLC,CHATELET-C,CHATELET-C,CHATELET-FAISCEAU C,CHATELET-FAISCEAU C,Châtelet-C,Châtelet-C,Châtelet-Faisceau C,Châtelet-Faisceau C,Châtelet-Faisceau C,Châtelet-Faisceau C,Station,Station,Gare
"51.29970800238582, 4.366277995954093",1908,BE01908,RGE9,ANT-ND-RGE.9,ANT-ND-RGE.9,ANTWERPEN-ND-BL.9-ROOSTER G/E,ANTWERPEN-ND-BL.9-ROOSTER G/E,Ant-Nd-RGE.9,Ant-Nd-RGE.9,Antw-Nd-R.G/E.9,Antw-Nd-R.G/E.9,Antwerpen-Nd-Bl.9-Rooster G/E,Antwerpen-Nd-Bl.9-Rooster G/E,Rooster,Grid,Gril
"51.29557300238905, 4.385128995949024",1909,BE01909,RDE9,ANT-ND-RDE.9,ANT-ND-RDE.9,ANTWERPEN-ND-BL.9-ROOSTER D/E,ANTWERPEN-ND-BL.9-ROOSTER D/E,Ant-Nd-RDE.9,Ant-Nd-RDE.9,Antw-Nd-R.D/E.9,Antw-Nd-R.D/E.9,Antwerpen-Nd-Bl.9-Rooster D/E,Antwerpen-Nd-Bl.9-Rooster D/E,Rooster,Grid,Gril
"50.45417773849123, 4.667481842839634",1412,BE01412,RSOL2,R.SOLVAY 2,R.SOLVAY 2,RACC.MOUSTIER-SOLVAY 2,RACC.MOUSTIER-SOLVAY 2,R.Solvay 2,R.Solvay 2,Racc.Solvay 2,Racc.Solvay 2,Racc.Moustier-Solvay 2,Racc.Moustier-Solvay 2,Verbinding,Connection,Raccordement
"51.15236760181122, 4.342952441826375",1996,BE01996,VVRBK,V.VERBEKE,V.VERBEKE,VERB.HEMIKSEM-VERBEKE,VERB.HEMIKSEM-VERBEKE,V.Verbeke,V.Verbeke,Verb.Verbeke,Verb.Verbeke,Verb.Hemiksem-Verbeke,Verb.Hemiksem-Verbeke,Verbinding,Connection,Raccordement
"50.78014200019417, 3.203974995865111",2013,BE02013,FWULR,LAUWE-LAR,LAUWE-LAR,LAUWE-L.A.R.,LAUWE-L.A.R.,Lauwe-LAR,Lauwe-LAR,Lauwe-L.A.R.,Lauwe-L.A.R.,Lauwe-L.A.R.,Lauwe-L.A.R.,Verbinding,Connection,Raccordement
"50.87644508589211, 4.718516879806164",109,BE00109,FLVQ,LEUVEN-Q,LEUVEN-Q,LEUVEN-BUNDEL Q,LEUVEN-BUNDEL Q,Leuven-Q,Leuven-Q,Leuven-Bundel Q,Leuven-Bundel Q,Leuven-Bundel Q,Leuven-Bundel Q,Station,Station,Gare
"50.69978530312296, 5.558491078181468",734,BE00734,LSLF,LIERS-FAISC,LIERS-FAISC,LIERS-FAISCEAU,LIERS-FAISCEAU,Liers-Faisc,Liers-Faisc,Liers-Faisceau,Liers-Faisceau,Liers-Faisceau,Liers-Faisceau,Station,Station,Gare
"51.29657637240337, 4.356333632779346",1911,BE01911,FNDC3,ANTW-ND-C3,ANTW-ND-C3,ANTWERPEN-NOORD-BUNDEL C3,ANTWERPEN-NOORD-BUNDEL C3,Antw-Nd-C3,Antw-Nd-C3,Antw-Nd-Bundel C3,Antw-Nd-Bundel C3,Antwerpen-Noord-Bundel C3,Antwerpen-Noord-Bundel C3,Station,Station,Gare
"51.29262400015524, 4.391642995508061",48,BE00048,FNDB3,ANTW-ND-B3,ANTW-ND-B3,ANTWERPEN-NOORD-BUNDEL B3,ANTWERPEN-NOORD-BUNDEL B3,Antw-Nd-B3,Antw-Nd-B3,Antw-Nd-Bundel B3,Antw-Nd-Bundel B3,Antwerpen-Noord-Bundel B3,Antwerpen-Noord-Bundel B3,Station,Station,Gare
"50.877000000334036, 4.718680995354924",716,BE00716,FLVP,LEUVEN-P,LEUVEN-P,LEUVEN-BUNDEL P,LEUVEN-BUNDEL P,Leuven-P,Leuven-P,Leuven-Bundel P,Leuven-Bundel P,Leuven-Bundel P,Leuven-Bundel P,Station,Station,Gare
"49.56717000093975, 5.831179994832348",1405,BE01405,MHA,ATHUS-A,ATHUS-A,ATHUS-FAISCEAU A,ATHUS-FAISCEAU A,Athus-A,Athus-A,Athus-Faisceau A,Athus-Faisceau A,Athus-Faisceau A,Athus-Faisceau A,Station,Station,Gare
"50.94337096523786, 5.491556611261882",444,BE00444,FKGRH,GENK-Z-HAVEN,GENK-Z-HAVEN,GENK-ZUID-R.O.-HAVEN,GENK-ZUID-R.O.-HAVEN,Genk-Z-Haven,Genk-Z-Haven,Genk-Zuid-R.O.-Haven,Genk-Zuid-R.O.-Haven,Genk-Zuid-R.O.-Haven,Genk-Zuid-R.O.-Haven,Station,Station,Gare
"51.15592800235925, 3.748242996089985",1926,BE01926,FZNKN,B.ZANDEKEN,B.ZANDEKEN,EVERGEM-BUNDEL ZANDEKEN,EVERGEM-BUNDEL ZANDEKEN,B.Zandeken,B.Zandeken,Evergem-B.Zandeken,Evergem-B.Zandeken,Evergem-Bundel Zandeken,Evergem-Bundel Zandeken,Station,Station,Gare
"51.195105757324264, 4.366867799856109",42,BE00042,FNKL,ANTW-KIEL,ANTW-KIEL,ANTWERPEN-KIEL,ANTWERPEN-KIEL,Anvers-Kiel,Antw-Kiel,Anvers-Kiel,Antwerpen-Kiel,Anvers-Kiel,Antwerpen-Kiel,Station,Station,Gare
"50.880727000293696, 4.385454995470903",817,BE00817,FSRM,SCHAERBEEK-M,SCHAARBEEK-M,SCHAERBEEK-FAISCEAU M,SCHAARBEEK-BUNDEL M,Schaerbeek-M,Schaarbeek-M,Schaerbeek-Faisc. M,Schaarbeek-Bundel M,Schaerbeek-Faisceau M,Schaarbeek-Bundel M,Station,Station,Gare
"51.250057000167565, 4.374639995509923",91,BE00091,ALSKA,ALASKA,ALASKA,ANTWERPEN-D.S.-ALASKA,ANTWERPEN-D.S.-ALASKA,Alaska,Alaska,Antw-DS-Alaska,Antw-DS-Alaska,Antwerpen-D.S.-Alaska,Antwerpen-D.S.-Alaska,Station,Station,Gare
"51.25744800016483, 4.372281995511438",85,BE00085,GRLND,GROENLAND,GROENLAND,ANTWERPEN-D.S.-GROENLAND,ANTWERPEN-D.S.-GROENLAND,Groenland,Groenland,Antw-DS-Groenland,Antw-DS-Groenland,Antwerpen-D.S.-Groenland,Antwerpen-D.S.-Groenland,Station,Station,Gare
"51.1905170000598, 3.222696995898137",213,BE00213,FRV,BRUGGE-U/V,BRUGGE-U/V,BRUGGE-BUNDELS U/V,BRUGGE-BUNDELS U/V,Brugge-U/V,Brugge-U/V,Brugge-Bundels U/V,Brugge-Bundels U/V,Brugge-Bundels U/V,Brugge-Bundels U/V,Station,Station,Gare
"51.28471557903636, 4.266391535103139",1823,BE01823,KALIS,B.KALISHOEK,B.KALISHOEK,ANTWERPEN-W.H.-B.KALISHOEK,ANTWERPEN-W.H.-B.KALISHOEK,B.Kalishoek,B.Kalishoek,Antw-WH-B.Kalishoek,Antw-WH-B.Kalishoek,Antwerpen-W.H.-B.Kalishoek,Antwerpen-W.H.-B.Kalishoek,Station,Station,Gare
"51.28904325038466, 4.388902561127024",55,BE00055,FNDC1,ANTW-ND-C1,ANTW-ND-C1,ANTWERPEN-NOORD-BUNDEL C1,ANTWERPEN-NOORD-BUNDEL C1,Antw-Nd-C1,Antw-Nd-C1,Antw-Nd-Bundel C1,Antw-Nd-Bundel C1,Antwerpen-Noord-Bundel C1,Antwerpen-Noord-Bundel C1,Station,Station,Gare
"51.22220407698318, 4.44510783052016",63,BE00063,FNZGQ,ANTW-SCHPT-Q,ANTW-SCHPT-Q,ANTWERPEN-SCHIJNPOORT-BUNDEL Q,ANTWERPEN-SCHIJNPOORT-BUNDEL Q,Anv-Schpt-Q,Antw-Schpt-Q,Antw-Schijnp-Bund.Q,Antw-Schijnp-Bund.Q,Anvers-Schijnpoort-Faisceau Q,Antwerpen-Schijnpoort-Bundel Q,Station,Station,Gare
"50.9362634536181, 5.30391956156132",524,BE00524,FHSA,HASSELT-AFW,HASSELT-AFW,HASSELT-AFWISSELING,HASSELT-AFWISSELING,Hasselt-Afw,Hasselt-Afw,Hasselt-Afwisseling,Hasselt-Afwisseling,Hasselt-Afwisseling,Hasselt-Afwisseling,Station,Station,Gare
"51.30045844064006, 4.356487323236264",46,BE00046,FNDB1,ANTW-ND-B1,ANTW-ND-B1,ANTWERPEN-NOORD-BUNDEL B1,ANTWERPEN-NOORD-BUNDEL B1,Antw-Nd-B1,Antw-Nd-B1,Antw-Nd-Bundel B1,Antw-Nd-Bundel B1,Antwerpen-Noord-Bundel B1,Antwerpen-Noord-Bundel B1,Station,Station,Gare
"51.30294316096515, 3.220290716528273",2171,BE02171,BPIC1,ZBR-PEL-ICO1,ZBR-PEL-ICO1,ZEEBRUGGE-BPEL-ICO1,ZEEBRUGGE-BPEL-ICO1,Zbr-PEL-ICO1,Zbr-PEL-ICO1,Zeebrugge-BPEL-ICO1,Zeebrugge-BPEL-ICO1,Zeebrugge-BPEL-ICO1,Zeebrugge-BPEL-ICO1,Verbinding,Connection,Raccordement
"51.270998000166976, 4.431169995492342",675,BE00675,LBWB,LUCHTB-WIJKB,LUCHTB-WIJKB,LUCHTBAL-WIJKBUNDEL,LUCHTBAL-WIJKBUNDEL,Luchtb-Wijkb,Luchtb-Wijkb,Luchtbal-Wijkbundel,Luchtbal-Wijkbundel,Luchtbal-Wijkbundel,Luchtbal-Wijkbundel,Station,Station,Gare
"50.6599936502279, 5.485113835779168",1339,BE01339,RBIER,R.BIERSET-FR,R.BIERSET-FR,RACC.BIERSET-ZONE FRET,RACC.BIERSET-ZONE FRET,R.Bierset-Fr,R.Bierset-Fr,Racc.Bierset-Fret,Racc.Bierset-Fret,Racc.Bierset-Zone Fret,Racc.Bierset-Zone Fret,Verbinding,Connection,Raccordement
"50.750810667376214, 4.953447652106479",1804,BE01804,1804,FL-WA 1 L2,VL-WA 1 L2,FRONT. FLANDRE-WALLONIE 1 L2,GRENS VLAANDEREN-WALLONIE 1 L2,Fl-Wa 1 L2,Vl-Wa 1 L2,Front. Fl-Wa 1 L2,Grens Vl-Wa 1 L2,Front. Flandre-Wallonie 1 L2,Grens Vlaanderen-Wallonië 1 L2,6,6,6
"50.71456504568184, 5.066290682192886",430,BE00430,430,WA-FL 1 L2,WA-VL 1 L2,FRONT. WALLONIE-FLANDRE 1 L2,GRENS WALLONIE-VLAANDEREN 1 L2,Wa-Fl 1 L2,Wa-Vl 1 L2,Front. Wa-Fl 1 L2,Grens Wa-Vl 1 L2,Front. Wallonie-Flandre 1 L2,Grens Wallonië-Vlaanderen 1 L2,6,6,6
"51.353621708825195, 4.279107184904988",1257,BE01257,YFRDK,Y.FREDERIK,Y.FREDERIK,Y.FREDERIK,Y.FREDERIK,Y.Frederik,Y.Frederik,Y.Frederik,Y.Frederik,Y.Frederik,Y.Frederik,Vertakking,Junction,Bifurcation
"50.92832937630446, 5.513609586946584",2105,BE02105,FKGRC,GENK-ZRO-CRO,GENK-ZRO-CRO,GENK-ZUID-R.O.-CRONIMET,GENK-ZUID-R.O.-CRONIMET,Genk-ZRO-Cro,Genk-ZRO-Cro,Genk-Zuid-R.O.-Croni,Genk-Zuid-R.O.-Croni,Genk-Zuid-R.O.-Cronimet,Genk-Zuid-R.O.-Cronimet,Verbinding,Connection,Raccordement
"50.669415734824995, 4.373400271044346",2126,BE02126,FBA,BRA-ALLIANCE,BRA-ALLIANCE,BRAINE-ALLIANCE,BRAINE-ALLIANCE,Bra-Alliance,Bra-Alliance,Braine-Alliance,Braine-Alliance,Braine-Alliance,Braine-Alliance,Station,Station,Gare
"50.55294735567399, 4.550490586989336",1155,BE01155,GTIG,TILLY-GARAGE,TILLY-GARAGE,TILLY-GARAGE,TILLY-GARAGE,Tilly-Garage,Tilly-Garage,Tilly-Garage,Tilly-Garage,Tilly-Garage,Tilly-Garage,Station,Station,Gare
"50.46468648508494, 3.829037691211685",1132,BE01132,LTT,TERTRE,TERTRE,TERTRE,TERTRE,Tertre,Tertre,Tertre,Tertre,Tertre,Tertre,Diensthalte,Service stop,Point darrêt de service
"50.62652300449613, 3.847030676684672",796,BE00796,RCO,LE COUCOU,LE COUCOU,LE COUCOU-BASE LGV,LE COUCOU-BASE LGV,Le Coucou,Le Coucou,Le Coucou-Base LGV,Le Coucou-Base LGV,Le Coucou-Base LGV,Le Coucou-Base LGV,Dienstinstallatie,Service installation,Installation de service
"51.37155916396361, 4.288421297808901",1220,BE01220,COMBI,COMBINANT,COMBINANT,ANTWERPEN-D.S.-COMBINANT,ANTWERPEN-D.S.-COMBINANT,Combinant,Combinant,Antw-DS-Combinant,Antw-DS-Combinant,Antwerpen-D.S.-Combinant,Antwerpen-D.S.-Combinant,Station,Station,Gare
"50.90161855638698, 4.414710414751294",1057,BE01057,FSRQC,SCHAERB-QCPI,SCHAARB-PPCI,SCHAERBEEK-QUAI C.P.I,SCHAARBEEK-PERRON P.C.I.,Schaerb-QCPI,Schaarb-PPCI,Schaerbeek-Q.C.P.I,Schaarbeek-P.P.C.I.,Schaerbeek-Quai C.P.I,Schaarbeek-Perron P.C.I.,Diensthalte,Service stop,Point darrêt de service
"50.8229982544731, 4.318597102410154",237,BE00237,FBKIC,BRUX-PI-CARW,BRUS-KE-CARW,BRUXELLES-PETITE-ILE-CARWASH,BRUSSEL-KLEIN-EILAND-CARWASH,Brux-PI-Carw,Brus-KE-Carw,Bruxelles-PI-Carwash,Brussel-KE-Carwash,Bruxelles-Petite-Ile-Carwash,Brussel-Klein-Eiland-Carwash,Dienstinstallatie,Service installation,Installation de service
"50.81765222580863, 4.314635011668778",416,BE00416,FOVRQ,FOREST-Q.SV,VORST-DNST.P,FOREST-VOITURES-QUAI SERVICE,VORST-RIJTUIGEN-DIENSTPERRON,Forest-Q.Sv,Vorst-Dnst.p,Forest-V-Quai Serv,Vorst-R-Dienstperron,Forest-Voitures-Quai Service,Vorst-Rijtuigen-Dienstperron,Diensthalte,Service stop,Point darrêt de service
"51.291276194348825, 4.294477454839739",1324,BE01324,VHALT,V.HALTERMAN,V.HALTERMAN,VERB.HALTERMAN,VERB.HALTERMAN,V.Halterman,V.Halterman,Verb.Halterman,Verb.Halterman,Verb.Halterman,Verb.Halterman,Verbinding,Connection,Raccordement
"51.274659000154536, 4.332572995526786",60,BE00060,KRSCB,KRUISSCHANSB,KRUISSCHANSB,KRUISSCHANSBRUG,KRUISSCHANSBRUG,Kruisschansb,Kruisschansb,Kruisschansbrug,Kruisschansbrug,Kruisschansbrug,Kruisschansbrug,Beweegbare brug,Movable bridge,Pont mobile
"50.565573185308, 5.372077592370614",1371,BE01371,RPAL,R.PALIFOR,R.PALIFOR,RACC.PALIFOR,RACC.PALIFOR,R.Palifor,R.Palifor,Racc.Palifor,Racc.Palifor,Racc.Palifor,Racc.Palifor,Verbinding,Connection,Raccordement
"50.834888616272906, 3.352042104341552",315,BE00315,LDK,V.CASIER,V.CASIER,VERB.DEERLIJK-CASIER,VERB.DEERLIJK-CASIER,V.Casier,V.Casier,Verb.Deerlijk-Casier,Verb.Deerlijk-Casier,Verb.Deerlijk-Casier,Verb.Deerlijk-Casier,Verbinding,Connection,Raccordement
"50.77253626968662, 5.485016515919518",1426,BE01426,VAUTO,V.AUTOTRANSP,V.AUTOTRANSP,VERB.HESSENATIE-AUTOTRANSPORT,VERB.HESSENATIE-AUTOTRANSPORT,V.Autotransp,V.Autotransp,Verb.Autotransport,Verb.Autotransport,Verb.Hessenatie-Autotransport,Verb.Hessenatie-Autotransport,Verbinding,Connection,Raccordement
"51.08610261893103, 4.352958403961996",1972,BE01972,VCLST,V.CLUSTER,V.CLUSTER,VERB.BEDRIJVENCLUSTER PUURS,VERB.BEDRIJVENCLUSTER PUURS,V.Cluster,V.Cluster,Verb.Cluster Puurs,Verb.Cluster Puurs,Verb.Bedrijvencluster Puurs,Verb.Bedrijvencluster Puurs,Verbinding,Connection,Raccordement
"51.26697190130821, 4.278598549771861",1991,BE01991,T007,L208 - L211,L208 - L211,LIJN 208-KRUISING LIJN 211,LIJN 208-KRUISING LIJN 211,L208 - L211,L208 - L211,L208-Kruising L211,L208-Kruising L211,Lijn 208-Kruising lijn 211,Lijn 208-Kruising lijn 211,Rooster,Grid,Gril
"50.879769793224916, 4.411814413173309",509,BE00509,HMIVB,R.HAREN-STIB,V.HAREN-MIVB,RACC.HAREN-STIB,VERB.HAREN-MIVB,R.Haren-STIB,V.Haren-MIVB,Racc.Haren-STIB,Verb.Haren-MIVB,Racc.Haren-STIB,Verb.Haren-MIVB,Verbinding,Connection,Raccordement
"51.10422338371124, 5.068817243145793",1450,BE01450,VDEBT,V.DE BONTE,V.DE BONTE,VERB.DE BONTE,VERB.DE BONTE,V.De Bonte,V.De Bonte,Verb.De Bonte,Verb.De Bonte,Verb.De Bonte,Verb.De Bonte,Verbinding,Connection,Raccordement
"51.243026418819674, 4.33631243599671",1464,BE01464,VBAYR,V.BAYER R,V.BAYER R,VERB.BAYER RUBBER,VERB.BAYER RUBBER,V.Bayer R,V.Bayer R,Verb.Bayer Rubber,Verb.Bayer Rubber,Verb.Bayer Rubber,Verb.Bayer Rubber,Verbinding,Connection,Raccordement
"51.16676757389297, 4.342805561020256",1719,BE01719,VUMIC,V.UMICORE,V.UMICORE,VERB.HOBOKEN-UMICORE,VERB.HOBOKEN-UMICORE,V.Umicore,V.Umicore,Verb.Hoboken-Umicore,Verb.Hoboken-Umicore,Verb.Hoboken-Umicore,Verb.Hoboken-Umicore,Verbinding,Connection,Raccordement
"51.31055687403734, 4.317901417817827",1818,BE01818,1818,L10-S.KL/LL,L10-S.KL/LL,LIJN 10-SEINEN KL/LL,LIJN 10-SEINEN KL/LL,L10-S.KL/LL,L10-S.KL/LL,Lijn 10-Seinen KL/LL,Lijn 10-Seinen KL/LL,Lijn 10-Seinen KL/LL,Lijn 10-Seinen KL/LL,Blocksein met melding,Net borde,Signal de bloc avec repérage
"50.80166387261434, 4.303632301995997",452,BE00452,452,BR-FL L96B,BR-VL L96B,FRONT. BRUXELLES-FLANDRE L96B,GRENS BRUSSEL-VLAANDEREN L96B,Br-Fl L96B,Br-Vl L96B,Front. Br-Fl L96B,Grens Br-Vl L96B,Front. Bruxelles-Flandre L96B,Grens Brussel-Vlaanderen L96B,6,6,6
"51.085968695981016, 4.35275917938947",1022,BE01022,FRBZK,RUISB-ZEEKAN,RUISB-ZEEKAN,RUISBROEK-ZEEKANAAL,RUISBROEK-ZEEKANAAL,Ruisb-Zeekan,Ruisb-Zeekan,Ruisbroek-Zeekanaal,Ruisbroek-Zeekanaal,Ruisbroek-Zeekanaal,Ruisbroek-Zeekanaal,Beweegbare brug,Movable bridge,Pont mobile
"50.892047675448424, 4.428058555386428",1344,BE01344,1344,BR-FL L36/3,BR-VL L36/3,FRONT. BRUXELLES-FLANDRE L36/3,GRENS BRUSSEL-VLAANDEREN L36/3,Br-Fl L36/3,Br-Vl L36/3,Front. Br-Fl L36/3,Grens Br-Vl L36/3,Front. Bruxelles-Flandre L36/3,Grens Brussel-Vlaanderen L36/3,6,6,6
"51.07312429195587, 3.727117135908512",1380,BE01380,FWOW,WIEDAUWBRUG,WIEDAUWBRUG,WONDELGEM-WIEDAUWKAAIBRUG,WONDELGEM-WIEDAUWKAAIBRUG,Wiedauwbrug,Wiedauwbrug,Wondelg-Wiedauwbrug,Wondelg-Wiedauwbrug,Wondelgem-Wiedauwkaaibrug,Wondelgem-Wiedauwkaaibrug,Beweegbare brug,Movable bridge,Pont mobile
